,date,open,high,low,close,volume,money
153,2005-08-24,48.0,48.2,47.56,47.95,321412.0,15394347.0
154,2005-08-25,47.96,48.08,47.6,47.95,354008.0,16937359.0
155,2005-08-26,47.71,48.75,47.71,48.42,458241.0,22162003.0
156,2005-08-29,48.5,48.88,48.4,48.69,512830.0,24984384.0
157,2005-08-30,48.6,48.85,48.1,48.38,245326.0,11883761.0
158,2005-08-31,48.1,48.98,48.01,48.86,239434.0,11660189.0
159,2005-09-01,48.76,50.32,48.76,50.0,548726.0,27342423.0
160,2005-09-02,49.8,51.15,49.8,50.56,499816.0,25226079.0
161,2005-09-05,50.5,51.58,50.5,50.95,391058.0,19986278.0
162,2005-09-06,50.96,51.29,50.0,50.1,319483.0,16132458.0
163,2005-09-07,50.09,50.66,50.01,50.54,518627.0,26062481.0
164,2005-09-08,50.54,50.54,49.71,50.03,630752.0,31589421.0
165,2005-09-09,50.03,50.05,49.0,49.8,425447.0,21034934.0
166,2005-09-12,49.8,49.8,48.83,49.61,159547.0,7856513.0
167,2005-09-13,49.3,50.8,49.3,50.79,490115.0,24688592.0
168,2005-09-14,50.7,51.2,50.1,50.86,329947.0,16772020.0
169,2005-09-15,50.76,51.34,50.36,50.74,174066.0,8846890.0
170,2005-09-16,50.63,51.18,50.63,50.97,321733.0,16398350.0
171,2005-09-19,50.6,51.38,50.38,50.48,204025.0,10355074.0
172,2005-09-20,50.55,50.55,50.2,50.46,179522.0,9041752.0
173,2005-09-21,50.08,50.6,49.49,49.69,294927.0,14686809.0
174,2005-09-22,49.38,49.98,48.18,49.05,335826.0,16372929.0
175,2005-09-23,48.89,49.49,48.35,48.92,306446.0,15048364.0
176,2005-09-26,48.95,49.35,48.5,48.58,176660.0,8657470.0
177,2005-09-27,48.55,48.75,48.15,48.25,170921.0,8278850.0
178,2005-09-28,48.02,48.99,48.02,48.77,233695.0,11331850.0
179,2005-09-29,48.95,49.8,48.81,49.7,208496.0,10308512.0
180,2005-09-30,49.7,49.7,48.5,49.46,332415.0,16352331.0
181,2005-10-10,49.08,49.7,48.6,48.64,264795.0,12946800.0
182,2005-10-11,48.5,48.96,48.22,48.84,135909.0,6622928.0
183,2005-10-12,49.0,49.0,47.42,47.51,832795.0,39835259.0
184,2005-10-13,47.55,47.91,46.72,47.09,1090753.0,51553349.0
185,2005-10-14,46.98,47.45,45.3,45.54,494258.0,22786107.0
186,2005-10-17,45.15,46.5,44.89,45.71,946838.0,43391916.0
187,2005-10-18,45.7,46.9,45.7,46.9,964218.0,44960711.0
188,2005-10-19,47.09,47.45,46.47,46.9,792451.0,37063755.0
189,2005-10-20,46.72,47.1,46.05,46.23,572162.0,26662088.0
190,2005-10-21,46.1,46.45,46.0,46.3,339538.0,15694623.0
191,2005-10-24,46.2,47.15,46.2,47.05,444467.0,20771238.0
192,2005-10-25,47.33,47.8,47.3,47.64,1159486.0,55177336.0
193,2005-10-26,47.62,47.74,47.3,47.58,963579.0,45847901.0
194,2005-10-27,47.54,47.54,46.55,46.97,974815.0,45785210.0
195,2005-10-28,46.98,48.1,46.98,47.56,698231.0,33237651.0
196,2005-10-31,47.49,48.8,47.11,48.19,668572.0,32099219.0
197,2005-11-01,48.39,48.55,47.82,48.3,854288.0,41028115.0
198,2005-11-02,48.0,48.55,47.58,48.16,276609.0,13366082.0
199,2005-11-03,48.39,48.45,47.2,47.21,253970.0,12120721.0
200,2005-11-04,47.22,47.6,46.39,47.25,489562.0,22899009.0
201,2005-11-07,46.51,47.0,46.4,46.93,247517.0,11545343.0
202,2005-11-08,46.92,47.03,46.86,46.93,607730.0,28543068.0
203,2005-11-09,47.18,47.5,46.51,46.72,602073.0,28203162.0
204,2005-11-10,46.9,46.9,46.16,46.63,395013.0,18352311.0
205,2005-11-11,46.22,46.64,45.99,46.38,292691.0,13501333.0
206,2005-11-14,46.06,46.3,45.55,45.6,216289.0,9877960.0
207,2005-11-15,45.75,45.88,45.4,45.4,776760.0,35512394.0
208,2005-11-16,45.38,45.96,45.0,45.89,724856.0,33007959.0
209,2005-11-17,45.8,45.86,43.19,44.96,1100802.0,49497150.0
210,2005-11-18,45.0,45.8,44.01,45.3,694123.0,31397165.0
211,2005-11-21,45.0,45.75,44.8,45.65,457517.0,20639360.0
212,2005-11-22,45.45,46.58,44.5,46.14,353881.0,16131067.0
213,2005-11-23,45.72,46.4,45.6,46.26,137141.0,6306488.0
214,2005-11-24,46.0,46.0,45.0,45.37,1088295.0,49193081.0
215,2005-11-25,45.1,45.6,44.88,45.53,391387.0,17618489.0
216,2005-11-28,45.47,45.68,44.5,45.46,152378.0,6903246.0
217,2005-11-29,45.45,45.68,43.0,44.39,248880.0,11117104.0
218,2005-11-30,44.0,44.16,42.9,43.74,650820.0,28172021.0
219,2005-12-01,43.49,43.85,43.21,43.3,535424.0,23266367.0
220,2005-12-02,43.3,44.8,43.3,44.52,963383.0,42441653.0
221,2005-12-05,44.52,44.65,43.64,44.17,275743.0,12151492.0
222,2005-12-06,43.7,44.13,43.5,43.76,1491667.0,65529318.0
223,2005-12-07,43.5,44.13,43.5,43.74,430998.0,18878496.0
224,2005-12-08,43.54,44.0,43.53,43.6,365778.0,16002582.0
225,2005-12-09,43.7,43.7,42.8,42.88,1546206.0,66478204.0
226,2005-12-12,42.8,42.8,41.65,41.66,1510220.0,63383458.0
227,2005-12-13,41.7,41.95,40.5,41.37,2041441.0,83729902.0
228,2005-12-14,41.05,42.8,41.03,42.48,1797593.0,75326820.0
229,2005-12-15,42.53,42.9,42.01,42.86,593465.0,25306079.0
230,2005-12-16,42.8,43.66,42.5,43.47,667061.0,28659038.0
231,2005-12-19,43.5,44.08,43.25,43.85,470267.0,20587488.0
232,2005-12-20,44.04,44.05,43.0,43.38,454042.0,19679338.0
233,2005-12-21,43.1,43.6,42.72,42.96,495917.0,21349222.0
234,2005-12-22,42.66,43.6,42.51,43.23,334067.0,14361625.0
235,2005-12-23,42.91,44.2,42.9,44.08,629183.0,27434932.0
236,2005-12-26,44.2,44.5,43.8,44.21,699235.0,30863111.0
237,2005-12-27,44.3,44.99,44.13,44.92,729017.0,32574560.0
238,2005-12-28,44.99,45.5,44.76,45.47,625035.0,28274416.0
239,2005-12-29,45.5,46.8,45.5,46.77,1567435.0,72783428.0
240,2005-12-30,46.5,46.52,44.9,45.62,3664756.0,167469295.0
241,2006-01-04,45.4,45.4,44.11,44.28,3550713.0,157456208.0
242,2006-01-05,44.2,45.3,44.12,44.76,1699230.0,75918198.0
243,2006-01-06,44.8,45.45,44.35,45.23,1716230.0,77233333.0
244,2006-01-09,45.35,47.3,45.3,46.79,2077080.0,96726018.0
245,2006-01-10,47.0,47.58,46.53,46.97,1745682.0,82153545.0
246,2006-01-11,46.95,47.6,46.51,46.56,831515.0,39227536.0
247,2006-01-12,46.4,47.06,46.1,47.0,998972.0,46568064.0
248,2006-01-13,47.0,48.3,46.5,47.48,993688.0,47330433.0
249,2006-01-16,47.78,47.9,46.51,46.55,773084.0,36255138.0
250,2006-01-17,46.0,46.62,45.8,46.05,1382470.0,63618353.0
251,2006-01-18,46.0,46.96,46.0,46.16,970685.0,45114697.0
252,2006-01-19,46.78,46.8,45.77,46.08,728303.0,33651491.0
253,2006-01-20,46.1,46.35,45.36,45.98,1421637.0,65092507.0
254,2006-01-23,46.0,46.0,44.9,45.0,1328642.0,59899023.0
255,2006-01-24,45.01,46.28,45.0,45.51,1145289.0,52535743.0
256,2006-01-25,45.62,47.5,45.32,47.24,1573073.0,73251753.0
257,2006-02-06,47.55,47.7,46.5,47.4,1569141.0,74143388.0
258,2006-02-07,47.4,50.01,47.15,50.0,2866581.0,140985315.0
259,2006-02-08,49.67,50.09,48.88,49.84,2226437.0,110727360.0
260,2006-02-09,49.75,50.0,48.3,48.48,777030.0,38004186.0
261,2006-02-10,48.4,53.0,48.08,52.53,3187395.0,160573342.0
262,2006-02-13,57.78,57.78,57.78,57.78,1696600.0,98029548.0
263,2006-02-15,59.5,59.5,56.8,58.09,2899655.0,168845650.0
264,2006-02-16,57.65,59.99,57.3,58.67,1897750.0,110783125.0
265,2006-02-17,58.66,58.88,58.12,58.26,890782.0,51929488.0
266,2006-02-20,57.78,58.1,56.18,57.39,1084398.0,62004351.0
267,2006-02-21,56.88,58.55,56.88,58.54,1023900.0,59431946.0
268,2006-02-22,58.35,59.0,58.0,58.7,1033510.0,60384853.0
269,2006-02-23,58.71,62.5,58.29,62.27,1173027.0,69601180.0
270,2006-04-17,68.5,68.5,68.5,68.5,23810.0,1630985.0
271,2006-04-18,75.35,75.35,75.35,75.35,32444.0,2444655.0
272,2006-04-19,82.89,82.89,82.08,82.89,4396751.0,364421942.0
273,2006-04-20,89.98,89.98,80.05,84.03,5561501.0,475176332.0
274,2006-04-21,83.77,90.5,83.01,88.93,3188609.0,278281209.0
275,2006-04-24,89.5,91.79,87.3,89.13,3624898.0,322955394.0
276,2006-04-25,89.0,93.2,87.61,91.41,3970465.0,357994221.0
277,2006-05-25,45.0,47.0,38.1,39.59,19811697.0,811908674.0
278,2006-05-26,39.49,40.02,37.68,39.99,9180196.0,360661885.0
279,2006-05-29,40.0,43.99,40.0,43.99,8068362.0,345986865.0
280,2006-05-30,47.1,48.39,45.61,48.39,13875854.0,664776550.0
281,2006-05-31,48.45,51.9,46.88,48.02,15173103.0,747411522.0
282,2006-06-01,48.02,50.1,46.98,49.5,9033167.0,438913211.0
283,2006-06-02,49.5,49.5,46.6,47.11,7310473.0,348052311.0
284,2006-06-05,46.6,46.6,43.8,44.87,6874756.0,308294272.0
285,2006-06-06,44.23,44.23,43.0,43.05,5664197.0,246688992.0
286,2006-06-07,42.57,43.99,41.7,42.03,7100113.0,302769993.0
